"fire_sea","bin_relev3","post","pre","ndiff","propdiff"
"2012-2013","(500,5e+03]",2984111.68,2931220.16,52891.52,0.0180441990409891
"2012-2013","(5e+03,5e+04]",4050770.24,3828323.84,222446.4,0.0581054292418481
"2012-2013","(5e+04,5e+05]",5545129.92,6430269.12,-885139.2,-0.137651968134111
"2012-2013","(5e+05,1e+06]",504986.24,517434.72,-12448.48,-0.0240580686197478
"2012-2013","(1e+06, Inf]",15080472,15093075.36,-12603.3599999994,-0.000835042540992083
"2019-2020","(500,5e+03]",3416962.56,3033673.28,383289.28,0.126344943777202
"2019-2020","(5e+03,5e+04]",4976062.08,3872968,1103094.08,0.284818795301175
"2019-2020","(5e+04,5e+05]",8527053.92,6012402.88,2514651.04,0.41824393511035
"2019-2020","(5e+05,1e+06]",515266.4,0,515266.4,1
"2019-2020","(1e+06, Inf]",5559862.88,14580596.8,-9020733.92,-0.618680705854235
